existing solution name,word,test set definition,ranking
OneLook,sentimentality,that the quality or state is excessive or emotionally affected,-1
OneLook,culture,"the whole of the practices, beliefs, arts, institutions, and other products of human activity and thought.",1
OneLook,hardware,informatics A computer and related physical devices directly involved in data processing or communication processes,2
OneLook,cylinder,"Mathematics is a rotating straight line that oscillates in a closed plane, either parallel or not parallel to the straight line.",5
OneLook,trap,"for catching and restraining animals, such as a hidden burrow or trap",-1
OneLook,heat,"a form of energy associated with the motion of molecules or particles that can move through solid and liquid media in conduction, fluid, and radiation in space.",1
OneLook,profession,"profession or vocation, one of the highest compliments a child can pay his or her parents is a career choice Joan Nathan",-1
OneLook,trace,"a track similar to a footprint made or left by a person, animal, or event",1
OneLook,technological, "technology, especially scientific technology",-1
OneLook,joy,intense and especially ecstatic or ecstatic joy,-1
OneLook,gadget,a small specialized mechanical or electronic device,1
OneLook,kill,kill,-1
OneLook,systems,plural form of system,1
OneLook,innovation,introduce something new,-1
OneLook,snare,Fishing gear is often part of the line for hunting birds and small mammals.,2
OneLook,ambush,expect a sudden attack,-1
OneLook,wheel,A wheel is a mechanical device in the shape of a disk or sphere,-1
OneLook,equipment,device configuration or device status,-1
OneLook,bounty,freedom in giving,9
OneLook,schooling,teaching or learning in school,3
OneLook,gun,A metal tube weapon that fired a flat course at high speed.,5
OneLook,perception,the ability to act or feel,-1
OneLook,probe,a scouting expedition or group specially formed to obtain information and knowledge in a distant or unknown country,6
OneLook,music,"the art of timing sounds through the interplay of melody, rhythm, and timbre to create a timeless, cohesive, evocative composition.",1
OneLook,learning,"the process, practice, or process of acquiring knowledge or skills",1
OneLook,happiness,a feeling of happy joy,5
OneLook,drummer,drummer in the band,-1
OneLook,manhunt,"search for a large organized person, usually an escaped criminal",1
OneLook,biotechnology,"The use of microorganisms, such as bacteria or biological agents such as yeast or enzymes, for a specific industrial or manufacturing process.",1
OneLook,enthusiasm,great passion or interest in a subject or cause,1
OneLook,beat,beat again and again,-1
OneLook,sensation,"a sensation associated with a sensory organ or position of the body, a burning sensation;",-1
OneLook,instruction,experience or teaching profession,-1
OneLook,software,Symbolic languages \u200b\u200bthat govern the organization and operation of computer programs and hardware.,1
OneLook,sense,"Any senses that received external or internal stimuli, such as hearing, sight, smell, taste, and balance.",1
OneLook,bugle,the brass instrument is shorter than the trumpet and has no key or valve,2
OneLook,consciousness,the state or condition of being conscious,1
OneLook,quest,software search or tracking activity or pattern,-1
OneLook,science,"observation, identification, description of experimental evidence and theoretical explanation of phenomena.",1
OneLook,forage,to forage or search for food or supplies,8
OneLook,tap,to strike lightly, by kicking or pounding,1
OneLook,adult,reaching maturity or maturity,-1
OneLook,excitement,interesting performance or example,-1
OneLook,drum,"A piercing made of a hollow cylinder or hemisphere, tightly extended at one or both ends, and struck by hand or sticks.",1
OneLook,catch,"to catch or capture, especially after a chase",-1
OneLook,track,a mark or trace left by an event,-1
OneLook,drive,push forward or forward thrust pushing horses into the corridor,1
OneLook,mechanism,machine or mechanical device,3
OneLook,foraging,to forage or search for food or supplies,-1
OneLook,pursue,hunting or capturing a fox pursued by hunters,7
OneLook,coeducation,an educational system in which both men and women attend the same institution or classes,1
OneLook,electronics,science and technology of electronic phenomena.,1
OneLook,scholarship,A review of the researcher's or academic's roles and responsibilities.,-1
OneLook,engineering,"Scientific and mathematical principles for practical applications such as the design, construction and operation of efficient and effective technical structures and systems and processes.",1
OneLook,transhumanism,"A philosophy of using science and technology, especially neurotechnology, biotechnology, and nanotechnology, to overcome human disabilities and improve human life.",1
OneLook,hit,"After the assault, he confronted the guard.",-1
OneLook,thrum,play a string instrument or a guitar solo,-1
OneLook,education,learning or learning process,1
OneLook,snipe,"Various large birds of the genus Gallinago or Capella, associated with Indian and scrub, especially g",-1
OneLook,emotionality,state or quality of emotional being,1
OneLook,university,"a university with teaching and research facilities, including a bachelor's degree offering master's and doctoral degrees, as well as a bachelor's degree.",-1
OneLook,trombone,A windmill consisting of a long cylindrical tube terminating in two bell-shaped mouthpieces and a U-shaped sliding slide for producing different sounds.,1
OneLook,vehemence,strong strength or ability to concentrate,-1
OneLook,violence,the use of physical force to commit crimes such as offensive or intentional violence,-1
OneLook,breeding,a man of good birth,-1
OneLook,run,"move quickly with your feet, allowing both feet to leave the ground with each step",1
OneLook,classroom,"school takes place outside the school, especially in the second grade",8
OneLook,application,claim,94
OneLook,search,make sure you find what you know,-1
OneLook,cymbal,Made of a perforated brass plate that produces a powerful tone when struck with a drum or drum.,1
OneLook,didactics,teaching pedagogy,4
OneLook,compassion,Extreme compassion in an attempt to alleviate another\u2019s suffering.,-1
OneLook,piano,Musical instruments are played with hand-picked keyboards that produce a sound that can be tapped or established with pedals.,-1
OneLook,empathy,Identify and understand another person\u2019s feelings and reasons.,-1
OneLook,tech,technology,4
OneLook,humility,the quality or state of poor condition,-1
OneLook,tambourine,An instrument made of a small head with a sound disc on the edge and played by shaking and tapping with the hand.,-1
OneLook,feeling,a sense that includes tactical sense,-1
OneLook,research,scientific or academic research or analysis,98
OneLook,hunt,Continue playing for food or games,-1
OneLook,preschool,corresponding to the childhood years before starting primary school,1
OneLook,emotional,or related to feelings,1
OneLook,apparatus,a device or apparatus for a special purpose,5
OneLook,humanities,being the most human,-1
OneLook,undergraduate,College or university student with an undergraduate degree or equivalent,-1
OneLook,whale,For biological order see Seashores,-1
OneLook,homeschooling,teach children at home instead of sending them to school,-1
OneLook,shakedown,detailed search,-1
OneLook,tool,a tool such as a saw for performing or controlling manual or mechanical work,14
OneLook,emotion,"a state of mind that occurs alone, effortlessly and without many mental changes that result in happiness, sadness, honor, respect, hatred and love.",17
OneLook,industry,commercial production and marketing of products,2
OneLook,pound,hit often and hard,5
OneLook,fervor,extreme heat and strong emotions,11
OneLook,explore,systematically explore each possibility,-1
OneLook,awe,"a feeling of wonder, awe and wonder inspired by the power of a genius of great beauty, glory or astonishment when thinking of a small work.",-1
OneLook,bionics,"application of biological principles in engineering research and design, particularly in electronic systems",-1
OneLook,djembe,A large leather covered drum that was beaten with the hands used in West Africa with mixed music,1
